ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.011073501760000137,0.2773,-0.26622649823999983,0.0034461666848000076
2,plts_bel1,1,1,solar,0.7644436516753506,0.0,0.7644436516753506,0.18403741642431357
3,batt_bel1,1,1,battery,0.32528617316790576,0.0,0.32528617316790576,0.08884762251792754
4,pltd_bel2,1,2,diesel,0.033786957120000044,0.846,-0.81221304288,0.010514807497600042
5,plts_bel2,1,2,solar,2.319470777899349,0.0,2.319470777899349,0.5615183365296231
6,batt_bel2,1,2,battery,0.9925517069649921,0.0,0.9925517069649921,0.2710835759729294
7,pltd_bel3,1,3,diesel,0.03362735637333338,0.842,-0.8083726436266666,0.010465170419200035
8,plts_bel3,1,3,solar,2.274859116202449,0.0,2.274859116202449,0.5588596900381323
9,batt_bel3,1,3,battery,0.9877285106117958,0.0,0.9877285106117958,0.2697992269575917
10,pltd_bel4,1,4,diesel,0.015540261866666615,0.3891,-0.3735597381333334,0.004836264495999989
11,plts_bel4,1,4,solar,1.0597155947822934,0.0,1.0597155947822934,0.2582661965263454
12,batt_bel4,1,4,battery,0.45651876783180123,0.0,0.45651876783180123,0.12468548196688246
13,pltd_bel5,1,5,diesel,0.01749641109333355,0.4381,-0.42060358890666644,0.005445049164800052
14,plts_bel5,1,5,solar,1.1980612951319887,0.0,1.1980612951319887,0.2907783990805263
15,batt_bel5,1,5,battery,0.513986268824836,0.0,0.513986268824836,0.14037581054976697
16,pltd_bel6,1,6,diesel,0.015380025173333298,0.3851,-0.3697199748266667,0.0047863576431999896
17,plts_bel6,1,6,solar,1.0617269081155738,0.0,1.0617269081155738,0.2556074287907283
18,batt_bel6,1,6,battery,0.4517860003019453,0.0,0.4517860003019453,0.1233994797244594
19,pltd_bel7,1,7,diesel,0.014322037333333188,0.3586,-0.34427796266666677,0.004457141919999985
20,plts_bel7,1,7,solar,0.9746990950333617,0.0,0.9746990950333617,0.23802029037616626
21,batt_bel7,1,7,battery,0.4206750086040646,0.0,0.4206750086040646,0.11490297852783271
22,pltd_bel8,1,8,diesel,0.028311831573333366,0.7089,-0.6805881684266666,0.008810805315199996
23,plts_bel8,1,8,solar,1.9191143728914704,0.0,1.9191143728914704,0.47052124171178855
24,batt_bel8,1,8,battery,0.8315436009759032,0.0,0.8315436009759032,0.22714860509663537
25,pltd_bel9,1,9,diesel,0.02729041429333331,0.6833,-0.6560095857066667,0.008493122500799989
26,plts_bel9,1,9,solar,1.8872624340519781,0.0,1.8872624340519781,0.4535500175839936
27,batt_bel9,1,9,battery,0.8016478765198991,0.0,0.8016478765198991,0.2189620108109983
28,pltd_bel10,1,10,diesel,0.01584755530666676,0.3968,-0.3809524446933332,0.004931817307200017
29,plts_bel10,1,10,solar,1.0940037016490307,0.0,1.0940037016490307,0.2633780050874593
30,batt_bel10,1,10,battery,0.46552030427652163,0.0,0.46552030427652163,0.12715086096640413
31,pltd_bel11,1,11,diesel,0.026367626346666638,0.6602,-0.6338323736533333,0.008205829766400038
32,plts_bel11,1,11,solar,1.8171368010910096,0.0,1.8171368010910096,0.4382127765242692
33,batt_bel11,1,11,battery,0.7744367954802446,0.0,0.7744367954802446,0.21155245221629201
34,pltd_bel12,1,12,diesel,0.011344434879999983,0.284,-0.27265556512,0.003530544662399997
35,plts_bel12,1,12,solar,0.7789634611096176,0.0,0.7789634611096176,0.18853544239800407
36,batt_bel12,1,12,battery,0.33321433396239875,0.0,0.33321433396239875,0.09101708431201806
37,pltd_bel13,1,13,diesel,0.015861079573333298,0.2672,-0.2513389204266667,0.004931340355199982
38,plts_bel13,1,13,solar,1.0773768456859185,0.0,1.0773768456859185,0.2771483297709759
39,batt_bel13,1,13,battery,0.47553919228052755,0.0,0.47553919228052755,0.12634407387236538
40,pltd_bel14,1,14,diesel,0.008206641920000039,0.2055,-0.19729335807999995,0.0025539964016000026
41,plts_bel14,1,14,solar,0.5665375861880292,0.0,0.5665375861880292,0.13639217317692454
42,batt_bel14,1,14,battery,0.24107264740204828,0.0,0.24107264740204828,0.06584600528166143
