ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.05142,0.2773,-0.22588,0.030538445264129348
2,plts_bel1,1,1,solar,0.6750275813479559,0.0,0.6750275813479559,0.15180616359090318
3,batt_bel1,1,1,battery,0.3096365815649285,0.0,0.3096365815649285,0.060529733138668676
4,pltd_bel2,1,2,diesel,0.1939332498262539,0.846,-0.652066750173746,0.13635772450658434
5,plts_bel2,1,2,solar,1.916803748566871,0.0,1.916803748566871,0.41356974674423
6,batt_bel2,1,2,battery,0.7540401771930612,0.0,0.7540401771930612,0.1492721082779253
7,pltd_bel3,1,3,diesel,0.19301445176872137,0.842,-0.6489855482312786,0.13571176931398315
8,plts_bel3,1,3,solar,1.9077314191715267,0.0,1.9077314191715267,0.41161232197457753
9,batt_bel3,1,3,battery,0.7504724256886495,0.0,0.7504724256886495,0.1485658218505062
10,pltd_bel4,1,4,diesel,0.08919712526406459,0.3891,-0.2999028747359354,0.06271608196466665
11,plts_bel4,1,4,solar,0.8816210557798713,0.0,0.8816210557798713,0.19021863594631366
12,batt_bel4,1,4,battery,0.3468171174248541,0.0,0.3468171174248541,0.06865698086363138
13,pltd_bel5,1,5,diesel,0.10042681572019738,0.4381,-0.33767318427980264,0.07061176464231633
14,plts_bel5,1,5,solar,0.9926075469817057,0.0,0.9926075469817057,0.2141650204717611
15,batt_bel5,1,5,battery,0.390476410279647,0.0,0.390476410279647,0.07729992725361447
16,pltd_bel6,1,6,diesel,0.071417,0.3851,-0.313683,0.04241488067932642
17,plts_bel6,1,6,solar,0.9375369379299371,0.0,0.9375369379299371,0.21084138351133513
18,batt_bel6,1,6,battery,0.4300490106900446,0.0,0.4300490106900446,0.08406875819645789
19,pltd_bel7,1,7,diesel,0.08220630063626737,0.3586,-0.2763936993637326,0.057800564596174796
20,plts_bel7,1,7,solar,0.8125118388913812,0.0,0.8125118388913812,0.17530767153397137
21,batt_bel7,1,7,battery,0.319629394712128,0.0,0.319629394712128,0.06327480382132628
22,pltd_bel8,1,8,diesel,0.1535640846119962,0.7089,-0.5553359153880038,0.09912235795316977
23,plts_bel8,1,8,solar,1.6460190549145401,0.0,1.6460190549145401,0.364029698109446
24,batt_bel8,1,8,battery,0.7065823767305023,0.0,0.7065823767305023,0.1379901132200395
25,pltd_bel9,1,9,diesel,0.15223891624204738,0.6833,-0.5310610837579526,0.10330989177707747
26,plts_bel9,1,9,solar,1.5750022597848683,0.0,1.5750022597848683,0.34184102535722677
27,batt_bel9,1,9,battery,0.6361014854885655,0.0,0.6361014854885655,0.12587882392757266
28,pltd_bel10,1,10,diesel,0.0909640783654733,0.3968,-0.30583592163452666,0.06395822311068754
29,plts_bel10,1,10,solar,0.8990678430786102,0.0,0.8990678430786102,0.19398294527256865
30,batt_bel10,1,10,battery,0.35367846108718404,0.0,0.35367846108718404,0.07001525709106804
31,pltd_bel11,1,11,diesel,0.15134598398133686,0.6602,-0.5088540160186632,0.10641396431595342
32,plts_bel11,1,11,solar,1.4958925277902397,0.0,1.4958925277902397,0.3227539120031903
33,batt_bel11,1,11,battery,0.5884619235606401,0.0,0.5884619235606401,0.11649374226903139
34,pltd_bel12,1,12,diesel,0.0651152189397936,0.284,-0.21888478106020637,0.04578375031439223
35,plts_bel12,1,12,solar,0.6435870594686207,0.0,0.6435870594686207,0.13886039534405065
36,batt_bel12,1,12,battery,0.25317667804097505,0.0,0.25317667804097505,0.05011964562408809
