ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.011073501760000012,0.2773,-0.26622649824,0.00344616668479999
2,plts_bel1,1,1,solar,0.7644436516753506,0.0,0.7644436516753506,0.1840374164243136
3,batt_bel1,1,1,battery,0.32528617316790576,0.0,0.32528617316790576,0.08884762251792756
4,pltd_bel2,1,2,diesel,0.03378695711999999,0.846,-0.81221304288,0.010514807497599983
5,plts_bel2,1,2,solar,2.319470777899349,0.0,2.319470777899349,0.5615183365296235
6,batt_bel2,1,2,battery,0.9925517069649924,0.0,0.9925517069649924,0.2710835759729294
7,pltd_bel3,1,3,diesel,0.0336273563733336,0.842,-0.8083726436266664,0.010465170419200072
8,plts_bel3,1,3,solar,2.2748591162024487,0.0,2.2748591162024487,0.5588596900381322
9,batt_bel3,1,3,battery,0.9877285106117955,0.0,0.9877285106117955,0.2697992269575916
10,pltd_bel4,1,4,diesel,0.015540261866666622,0.3891,-0.3735597381333334,0.004836264495999976
11,plts_bel4,1,4,solar,1.0597155947822932,0.0,1.0597155947822932,0.2582661965263454
12,batt_bel4,1,4,battery,0.45651876783180156,0.0,0.45651876783180156,0.12468548196688248
13,pltd_bel5,1,5,diesel,0.017496411093333348,0.4381,-0.42060358890666666,0.005445049164800005
14,plts_bel5,1,5,solar,1.1980612951319887,0.0,1.1980612951319887,0.29077839908052633
15,batt_bel5,1,5,battery,0.5139862688248362,0.0,0.5139862688248362,0.14037581054976703
16,pltd_bel6,1,6,diesel,0.015380025173333369,0.3851,-0.36971997482666663,0.004786357643200017
17,plts_bel6,1,6,solar,1.0617269081155736,0.0,1.0617269081155736,0.2556074287907283
18,batt_bel6,1,6,battery,0.4517860003019446,0.0,0.4517860003019446,0.12339947972445939
19,pltd_bel7,1,7,diesel,0.01432203733333329,0.3586,-0.34427796266666666,0.004457141919999968
20,plts_bel7,1,7,solar,0.9746990950333617,0.0,0.9746990950333617,0.23802029037616632
21,batt_bel7,1,7,battery,0.4206750086040646,0.0,0.4206750086040646,0.11490297852783275
22,pltd_bel8,1,8,diesel,0.028311831573333293,0.7089,-0.6805881684266667,0.008810805315199989
23,plts_bel8,1,8,solar,1.9191143728914706,0.0,1.9191143728914706,0.4705212417117886
24,batt_bel8,1,8,battery,0.8315436009759032,0.0,0.8315436009759032,0.22714860509663543
25,pltd_bel9,1,9,diesel,0.027290414293333384,0.6833,-0.6560095857066667,0.008493122500800004
26,plts_bel9,1,9,solar,1.887262434051978,0.0,1.887262434051978,0.45355001758399355
27,batt_bel9,1,9,battery,0.8016478765198989,0.0,0.8016478765198989,0.2189620108109983
28,pltd_bel10,1,10,diesel,0.015847555306666677,0.3968,-0.38095244469333334,0.004931817307200009
29,plts_bel10,1,10,solar,1.0940037016490307,0.0,1.0940037016490307,0.2633780050874593
30,batt_bel10,1,10,battery,0.46552030427652163,0.0,0.46552030427652163,0.12715086096640413
31,pltd_bel11,1,11,diesel,0.026367626346666603,0.6602,-0.6338323736533334,0.008205829766400002
32,plts_bel11,1,11,solar,1.8171368010910103,0.0,1.8171368010910103,0.4382127765242693
33,batt_bel11,1,11,battery,0.774436795480245,0.0,0.774436795480245,0.21155245221629204
34,pltd_bel12,1,12,diesel,0.011344434880000018,0.284,-0.27265556511999994,0.0035305446623999995
35,plts_bel12,1,12,solar,0.7789634611096176,0.0,0.7789634611096176,0.18853544239800407
36,batt_bel12,1,12,battery,0.33321433396239863,0.0,0.33321433396239863,0.09101708431201806
37,pltd_bel13,1,13,diesel,0.01586107957333334,0.2672,-0.25133892042666667,0.004931340355199989
38,plts_bel13,1,13,solar,1.0773768456859183,0.0,1.0773768456859183,0.2771483297709759
39,batt_bel13,1,13,battery,0.4755391922805273,0.0,0.4755391922805273,0.12634407387236538
40,pltd_bel14,1,14,diesel,0.00820664192000004,0.2055,-0.19729335807999995,0.0025539964016000265
41,plts_bel14,1,14,solar,0.5665375861880289,0.0,0.5665375861880289,0.13639217317692448
42,batt_bel14,1,14,battery,0.24107264740204798,0.0,0.24107264740204798,0.06584600528166142
43,pltd_bel15,1,15,diesel,0.01038411093333322,0.1749,-0.16451588906666678,0.003228509647999983
44,plts_bel15,1,15,solar,0.7113240765829182,0.0,0.7113240765829182,0.18144632072071484
45,batt_bel15,1,15,battery,0.31132981739833393,0.0,0.31132981739833393,0.08271867954218934
46,pltd_bel16,1,16,diesel,0.01960039658666655,0.4908,-0.47119960341333345,0.006099862641599974
47,plts_bel16,1,16,solar,1.310233537769633,0.0,1.310233537769633,0.3257462939760129
48,batt_bel16,1,16,battery,0.5756911180783202,0.0,0.5756911180783202,0.15726177363247099
49,pltd_bel17,1,17,diesel,0.013262572266666653,0.2234,-0.21013742773333333,0.004123529087999979
50,plts_bel17,1,17,solar,0.904197850001832,0.0,0.904197850001832,0.23174174599824454
51,batt_bel17,1,17,battery,0.39768095261621633,0.0,0.39768095261621633,0.10565146168357653
52,pltd_bel18,1,18,diesel,0.005180314666666681,0.1297,-0.12451968533333332,0.0016121120399999983
53,plts_bel18,1,18,solar,0.34297761902610335,0.0,0.34297761902610335,0.08608839794651402
54,batt_bel18,1,18,battery,0.15215447474794108,0.0,0.15215447474794108,0.041559975706936564
55,pltd_bel19,1,19,diesel,0.008108351146666696,0.203,-0.19489164885333332,0.0025234038704000077
56,plts_bel19,1,19,solar,0.5710857987481943,0.0,0.5710857987481943,0.13475583987957054
57,batt_bel19,1,19,battery,0.23816144581627333,0.0,0.23816144581627333,0.0650540546534833
58,pltd_bel20,1,20,diesel,0.0017715988266666608,0.0444,-0.042628401173333344,0.0005513128767999986
59,plts_bel20,1,20,solar,0.12342782661717044,0.0,0.12342782661717044,0.02944621209352321
60,batt_bel20,1,20,battery,0.05204962624013245,0.0,0.05204962624013245,0.014216114398968504
61,pltd_bel21,1,21,diesel,0.006643820053333354,0.1664,-0.15975617994666663,0.002067599105600005
62,plts_bel21,1,21,solar,0.46252904495460495,0.0,0.46252904495460495,0.11042257218709077
63,batt_bel21,1,21,battery,0.19517117945047763,0.0,0.19517117945047763,0.053308830446181475
64,pltd_bel22,1,22,diesel,0.004724841386666652,0.1183,-0.11357515861333335,0.0014703543455999988
65,plts_bel22,1,22,solar,0.332299491044073,0.0,0.332299491044073,0.07852272494317541
66,batt_bel22,1,22,battery,0.1387869890279286,0.0,0.1387869890279286,0.037908951622522925
67,pltd_bel23,1,23,diesel,0.004565127786666706,0.1143,-0.10973487221333329,0.001420726417600007
68,plts_bel23,1,23,solar,0.3151202090342981,0.0,0.3151202090342981,0.07586418684846605
69,batt_bel23,1,23,battery,0.1340893301238506,0.0,0.1340893301238506,0.03662486461196822
70,pltd_bel24,1,24,diesel,0.002682242773333331,0.0672,-0.06451775722666667,0.0008346984912000022
71,plts_bel24,1,24,solar,0.1854934025067245,0.0,0.1854934025067245,0.04457806530088044
72,batt_bel24,1,24,battery,0.0787916003176786,0.0,0.0787916003176786,0.02152112952094326
73,pltd_bel25,1,25,diesel,0.002383205653333329,0.049,-0.04661679434666667,0.0009225865935999995
74,plts_bel25,1,25,solar,0.13722544220456825,0.0,0.13722544220456825,0.0321462407231408
75,batt_bel25,1,25,battery,0.05639094744532287,0.0,0.05639094744532287,0.015402635755790426
76,pltd_bel26,1,26,diesel,0.005475033173333305,0.1371,-0.1316249668266667,0.001703985483199992
77,plts_bel26,1,26,solar,0.3833476815002502,0.0,0.3833476815002502,0.090996154606142
78,batt_bel26,1,26,battery,0.1608448069048536,0.0,0.1608448069048536,0.04392992933606183
79,pltd_bel27,1,27,diesel,0.0061006620799999925,0.1254,-0.11929933792000003,0.002361750518399996
