ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.013490035093336355,0.2773,-0.26380996490666364,0.005222318684837269
2,plts_bel1,1,1,solar,0.7547062026152025,0.0,0.7547062026152025,0.1819601942379749
3,batt_bel1,1,1,battery,0.4237986705645818,0.0,0.4237986705645818,0.08718860034554353
4,pltd_bel2,1,2,diesel,0.04115969045331513,0.846,-0.8048403095466848,0.015933766497630092
5,plts_bel2,1,2,solar,2.2899269600289376,0.0,2.2899269600289376,0.5551808268491457
6,batt_bel2,1,2,battery,1.2930564610416526,0.0,1.2930564610416526,0.2660219789942589
7,pltd_bel3,1,3,diesel,0.040965023039974784,0.842,-0.8010349769600252,0.015858355419226113
8,plts_bel3,1,3,solar,2.2458841627349666,0.0,2.2458841627349666,0.5525523252300087
9,batt_bel3,1,3,battery,1.2869307585674166,0.0,1.2869307585674166,0.2647617153067687
10,pltd_bel4,1,4,diesel,0.018931328533329742,0.3891,-0.37016867146667026,0.007328698496031136
11,plts_bel4,1,4,solar,1.046217510339366,0.0,1.046217510339366,0.2553512712590893
12,batt_bel4,1,4,battery,0.5947441068618843,0.0,0.5947441068618843,0.12235737904649177
13,pltd_bel5,1,5,diesel,0.021314411093333617,0.4381,-0.4167855889066664,0.008251279164831569
14,plts_bel5,1,5,solar,1.1828009304477791,0.0,1.1828009304477791,0.2874965012610244
15,batt_bel5,1,5,battery,0.6695859561044877,0.0,0.6695859561044877,0.13775468266960716
16,pltd_bel6,1,6,diesel,0.018736291840001314,0.3851,-0.3663637081599987,0.007253213643234864
17,plts_bel6,1,6,solar,1.0482027927028204,0.0,1.0482027927028204,0.2527224234456277
18,batt_bel6,1,6,battery,0.5886095217736089,0.0,0.5886095217736089,0.12109530260429954
19,pltd_bel7,1,7,diesel,0.017447370666660876,0.3586,-0.3411526293333391,0.006754261920031082
20,plts_bel7,1,7,solar,0.9622836009033522,0.0,0.9622836009033522,0.2353338075062965
21,batt_bel7,1,7,battery,0.54808156929418,0.0,0.54808156929418,0.11275742688053947
22,pltd_bel8,1,8,diesel,0.034489831573316865,0.7089,-0.6744101684266831,0.013351635315227138
23,plts_bel8,1,8,solar,1.8946698365340806,0.0,1.8946698365340806,0.4652107210982999
24,batt_bel8,1,8,battery,1.0834883803711752,0.0,1.0834883803711752,0.2229072891120871
25,pltd_bel9,1,9,diesel,0.033245480959992815,0.6833,-0.6500545190400072,0.012870096500833018
26,plts_bel9,1,9,solar,1.8632239414622591,0.0,1.8632239414622591,0.44843111089727605
27,batt_bel9,1,9,battery,1.044439072540753,0.0,1.044439072540753,0.21487365256879298
28,pltd_bel10,1,10,diesel,0.01930588864000262,0.3968,-0.3774941113599974,0.007473692307234713
29,plts_bel10,1,10,solar,1.080068307420596,0.0,1.080068307420596,0.2604052644971778
30,batt_bel10,1,10,battery,0.6065033498819309,0.0,0.6065033498819309,0.12477661203686259
31,pltd_bel11,1,11,diesel,0.032121426346660285,0.6602,-0.6280785736533397,0.012434872766431933
32,plts_bel11,1,11,solar,1.7939911231642756,0.0,1.7939911231642756,0.43326688940068037
33,batt_bel11,1,11,battery,1.0090954104061267,0.0,1.0090954104061267,0.20760234241048936
34,pltd_bel12,1,12,diesel,0.013819768213333417,0.284,-0.27018023178666656,0.005349914662435269
35,plts_bel12,1,12,solar,0.7690421289102848,0.0,0.7690421289102848,0.18640768164129878
36,batt_bel12,1,12,battery,0.43414779895511413,0.0,0.43414779895511413,0.08931772274666457
37,pltd_bel13,1,13,diesel,0.01612154506666017,0.2672,-0.2510784549333398,0.004958689232025925
38,plts_bel13,1,13,solar,1.0763963117340651,0.0,1.0763963117340651,0.27711830966256606
39,batt_bel13,1,13,battery,0.6159426218208479,0.0,0.6159426218208479,0.12632935427336967
40,pltd_bel14,1,14,diesel,0.009997441920015194,0.2055,-0.1955025580799848,0.003870234401640134
41,plts_bel14,1,14,solar,0.5593215368430802,0.0,0.5593215368430802,0.13485282363020865
42,batt_bel14,1,14,battery,0.3140825363819193,0.0,0.3140825363819193,0.06461656769638026
43,pltd_bel15,1,15,diesel,0.010554632320002973,0.1749,-0.16434536767999702,0.0032464143936309178
44,plts_bel15,1,15,solar,0.7106767006869145,0.0,0.7106767006869145,0.18142666673354954
45,batt_bel15,1,15,battery,0.40326350876164135,0.0,0.40326350876164135,0.08270904049252895
46,pltd_bel16,1,16,diesel,0.02387739658666317,0.4908,-0.46692260341333686,0.009243457641625319
47,plts_bel16,1,16,solar,1.2935448585038403,0.0,1.2935448585038403,0.32206983396234684
48,batt_bel16,1,16,battery,0.7501317256476789,0.0,0.7501317256476789,0.15432546538026862
49,pltd_bel17,1,17,diesel,0.013480379199993363,0.2234,-0.20991962080000662,0.00414639881602791
50,plts_bel17,1,17,solar,0.9033748674956102,0.0,0.9033748674956102,0.23171664126683528
51,batt_bel17,1,17,battery,0.5150633574301691,0.0,0.5150633574301691,0.10563914588373899
52,pltd_bel18,1,18,diesel,0.006310648000028289,0.1297,-0.12338935199997172,0.002442907040036672
53,plts_bel18,1,18,solar,0.3386090404628495,0.0,0.3386090404628495,0.08511677955740748
54,batt_bel18,1,18,battery,0.19823928666731996,0.0,0.19823928666731996,0.04078398015679644
55,pltd_bel19,1,19,diesel,0.009877684480028445,0.203,-0.19312231551997155,0.003823863870448886
56,plts_bel19,1,19,solar,0.5638117602048389,0.0,0.5638117602048389,0.13323494774667016
57,batt_bel19,1,19,battery,0.31030495741849556,0.0,0.31030495741849556,0.06383938175479721
58,pltd_bel20,1,20,diesel,0.0021583321600761617,0.0444,-0.04224166783992384,0.000835561876860748
59,plts_bel20,1,20,solar,0.12185526265482982,0.0,0.12185526265482982,0.029113779973102577
60,batt_bel20,1,20,battery,0.06780983698534036,0.0,0.06780983698534036,0.013950605329532377
61,pltd_bel21,1,21,diesel,0.008093886720035378,0.1664,-0.1583061132799646,0.0031333981056457685
62,plts_bel21,1,21,solar,0.4566367805248091,0.0,0.4566367805248091,0.10917611242583644
63,batt_bel21,1,21,battery,0.2542799906922482,0.0,0.2542799906922482,0.05231331437665207
64,pltd_bel22,1,22,diesel,0.005755908053391269,0.1183,-0.11254409194660873,0.002228188345656151
65,plts_bel22,1,22,solar,0.3280666212647343,0.0,0.3280666212647343,0.07763643136168395
66,batt_bel22,1,22,battery,0.18082379245556293,0.0,0.18082379245556293,0.0372010858040356
