Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,6.392218190560954e-16,7.18696820522434e-13,Inf
1,2,2000.0,6.392221676309345e-16,7.185780608148967e-13,Inf
1,3,2000.0,6.392221668255643e-16,7.182689754154874e-13,Inf
1,4,2000.0,6.392219726762175e-16,7.184373690688394e-13,Inf
1,5,2000.0,6.392220134858476e-16,7.18523015308565e-13,Inf
1,6,2000.0,6.392219681793317e-16,7.18696827510015e-13,Inf
1,7,2000.0,6.392219412709202e-16,7.183925315863851e-13,Inf
1,8,2000.0,6.392221352931405e-16,7.183100933935306e-13,Inf
1,9,2000.0,6.392221279128355e-16,7.187351611219067e-13,Inf
1,10,2000.0,6.392219792186386e-16,7.186968280280238e-13,Inf
1,11,2000.0,6.392221207638625e-16,7.186598787755074e-13,Inf
1,12,2000.0,6.392218344929295e-16,7.185820260698346e-13,Inf
1,13,2000.0,6.392219349232784e-16,7.115080519918846e-13,Inf
1,14,2000.0,6.392216336634328e-16,7.186968118728309e-13,Inf
1,15,2000.0,6.392217170660991e-16,7.116766857395624e-13,Inf
1,16,2000.0,6.392220480931376e-16,7.180229372666755e-13,Inf
1,17,2000.0,6.39221855246156e-16,7.115833427458303e-13,Inf
1,18,2000.0,6.392212268147697e-16,7.178273120245317e-13,Inf
1,19,2000.0,6.392216287906201e-16,7.191320598861914e-13,Inf
1,20,2000.0,6.392191119808182e-16,7.188937019587127e-13,Inf
1,21,2000.0,6.392214708443595e-16,7.188777996497413e-13,Inf
1,22,2000.0,6.39221121574515e-16,7.19102436378089e-13,Inf
1,23,2000.0,6.392210807932588e-16,7.186967849684428e-13,Inf
1,24,2000.0,6.392202088586612e-16,7.187350682661072e-13,Inf
1,25,2000.0,6.392194152518678e-16,7.193250619652561e-13,Inf
1,26,2000.0,6.392212856319359e-16,7.190023396628378e-13,Inf
1,27,2000.0,6.392211898640705e-16,7.194883916527539e-13,Inf
1,28,2000.0,6.392207960876278e-16,7.191446484143259e-13,Inf
1,29,2000.0,6.392201794675971e-16,7.188539214605905e-13,Inf
1,30,2000.0,6.392195979530632e-16,7.204870721716826e-13,Inf
