ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.6951946822583273,0.0,1.6951946822583273
6,1,2,batt_bel2,5.1722258441666105,0.0,5.1722258441666105
9,1,3,batt_bel3,5.147723034269666,0.0,5.147723034269666
12,1,4,batt_bel4,2.378976427447537,0.0,2.378976427447537
15,1,5,batt_bel5,2.6783438244179507,0.0,2.6783438244179507
18,1,6,batt_bel6,2.3544380870944357,0.0,2.3544380870944357
21,1,7,batt_bel7,2.19232627717672,0.0,2.19232627717672
24,1,8,batt_bel8,4.333953521484701,0.0,4.333953521484701
27,1,9,batt_bel9,4.177756290163012,0.0,4.177756290163012
30,1,10,batt_bel10,2.4260133995277235,0.0,2.4260133995277235
33,1,11,batt_bel11,4.036381641624507,0.0,4.036381641624507
36,1,12,batt_bel12,1.7365911958204565,0.0,1.7365911958204565
39,1,13,batt_bel13,2.4637704872833917,0.0,2.4637704872833917
42,1,14,batt_bel14,1.2563301455276772,0.0,1.2563301455276772
45,1,15,batt_bel15,1.6130540350465654,0.0,1.6130540350465654
48,1,16,batt_bel16,3.0005269025907157,0.0,3.0005269025907157
51,1,17,batt_bel17,2.0602534297206763,0.0,2.0602534297206763
54,1,18,batt_bel18,0.7929571466692799,0.0,0.7929571466692799
57,1,19,batt_bel19,1.2412198296739823,0.0,1.2412198296739823
60,1,20,batt_bel20,0.27123934794136145,0.0,0.27123934794136145
63,1,21,batt_bel21,1.0171199627689929,0.0,1.0171199627689929
66,1,22,batt_bel22,0.7232951698222517,0.0,0.7232951698222517
69,1,23,batt_bel23,0.6987980416608544,0.0,0.6987980416608544
72,1,24,batt_bel24,0.41061626988452227,0.0,0.41061626988452227
75,1,25,batt_bel25,0.29947100833316914,0.0,0.29947100833316914
78,1,26,batt_bel26,0.8381761346824883,0.0,0.8381761346824883
81,1,27,batt_bel27,0.7666065122119081,0.0,0.7666065122119081
84,1,28,batt_bel28,0.5688394208760812,0.0,0.5688394208760812
87,1,29,batt_bel29,0.4049740715548309,0.0,0.4049740715548309
90,1,30,batt_bel30,0.31076653048859587,0.0,0.31076653048859587
93,1,31,batt_bel31,0.6328943043037756,0.0,0.6328943043037756
96,1,32,batt_bel32,0.9493156108122774,0.0,0.9493156108122774
99,1,33,batt_bel33,0.5612995246424487,0.0,0.5612995246424487
102,1,34,batt_bel34,0.45205343370126966,0.0,0.45205343370126966
105,1,35,batt_bel35,0.46334375969825586,0.0,0.46334375969825586
108,1,36,batt_bel36,0.27124117418965177,0.0,0.27124117418965177
111,1,37,batt_bel37,0.47464044962513074,0.0,0.47464044962513074
114,1,38,batt_bel38,0.9700510435444653,0.0,0.9700510435444653
117,1,39,batt_bel39,0.4350964522547216,0.0,0.4350964522547216
120,1,40,batt_bel40,0.3898787855330887,0.0,0.3898787855330887
123,1,41,batt_bel41,0.4219183173804603,0.0,0.4219183173804603
126,1,42,batt_bel42,0.4746553983711503,0.0,0.4746553983711503
129,1,43,batt_bel43,0.8344081616259865,0.0,0.8344081616259865
132,1,44,batt_bel44,0.6536033530496775,0.0,0.6536033530496775
135,1,45,batt_bel45,0.4953808420278586,0.0,0.4953808420278586
138,1,46,batt_bel46,0.6686297788453947,0.0,0.6686297788453947
141,1,47,batt_bel47,0.6912618196249838,0.0,0.6912618196249838
144,1,48,batt_bel48,0.6705200683403997,0.0,0.6705200683403997
147,1,49,batt_bel49,1.2224199429757587,0.0,1.2224199429757587
150,1,50,batt_bel50,1.4352993939650283,0.0,1.4352993939650283
153,1,51,batt_bel51,0.9003450534442251,0.0,0.9003450534442251
156,1,52,batt_bel52,0.9794694132292826,0.0,0.9794694132292826
159,1,53,batt_bel53,0.8400523105432053,0.0,0.8400523105432053
162,1,54,batt_bel54,0.7722813605815524,0.0,0.7722813605815524
165,1,55,batt_bel55,1.2619457138966583,0.0,1.2619457138966583
168,1,56,batt_bel56,0.9756256340019132,0.0,0.9756256340019132
171,1,57,batt_bel57,1.0585548252764865,0.0,1.0585548252764865
174,1,58,batt_bel58,1.5143369250955716,0.0,1.5143369250955716
177,1,59,batt_bel59,0.47840229657659417,0.0,0.47840229657659417
180,1,60,batt_bel60,2.5842806439596364,0.0,2.5842806439596364
183,1,61,batt_bel61,0.3409172402780035,0.0,0.3409172402780035
186,1,62,batt_bel62,1.7517471617510576,0.0,1.7517471617510576
189,1,63,batt_bel63,0.6912618196249838,0.0,0.6912618196249838
192,1,64,batt_bel64,0.6460798806142944,0.0,0.6460798806142944
195,1,65,batt_bel65,0.31643383858232654,0.0,0.31643383858232654
198,1,66,batt_bel66,2.734907325521052,0.0,2.734907325521052
201,1,67,batt_bel67,2.207507666809935,0.0,2.207507666809935
204,1,68,batt_bel68,1.1131927958796475,0.0,1.1131927958796475
207,1,69,batt_bel69,2.105895686385173,0.0,2.105895686385173
210,1,70,batt_bel70,0.3861198016808117,0.0,0.3861198016808117
213,1,71,batt_bel71,0.9078254852053236,0.0,0.9078254852053236
