ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.05141999999998694,0.2773,-0.22588000000001304,0.030538445264120213
2,plts_bel1,1,1,solar,0.6750275813481119,0.0,0.6750275813481119,0.15180616359092627
3,batt_bel1,1,1,battery,0.3096365815649442,0.0,0.3096365815649442,0.06052973313875298
4,pltd_bel2,1,2,diesel,0.19393324982667332,0.846,-0.6520667501733266,0.1363577245065604
5,plts_bel2,1,2,solar,1.9168037485670155,0.0,1.9168037485670155,0.4135697467442626
6,batt_bel2,1,2,battery,0.7540401771931392,0.0,0.7540401771931392,0.14927210827798099
7,pltd_bel3,1,3,diesel,0.19301445176914062,0.842,-0.6489855482308593,0.13571176931395917
8,plts_bel3,1,3,solar,1.9077314191716714,0.0,1.9077314191716714,0.41161232197461006
9,batt_bel3,1,3,battery,0.7504724256887276,0.0,0.7504724256887276,0.14856582185056194
10,pltd_bel4,1,4,diesel,0.08919712526442596,0.3891,-0.29990287473557403,0.06271608196463946
11,plts_bel4,1,4,solar,0.8816210557800446,0.0,0.8816210557800446,0.190218635946352
12,batt_bel4,1,4,battery,0.34681711742494586,0.0,0.34681711742494586,0.06865698086369967
13,pltd_bel5,1,5,diesel,0.100426815720567,0.4381,-0.337673184279433,0.07061176464228892
14,plts_bel5,1,5,solar,0.9926075469818784,0.0,0.9926075469818784,0.21416502047179947
15,batt_bel5,1,5,battery,0.39047641027974017,0.0,0.39047641027974017,0.07729992725368197
16,pltd_bel6,1,6,diesel,0.07141699999998162,0.3851,-0.31368300000001836,0.042414880679312615
17,plts_bel6,1,6,solar,0.9375369379301237,0.0,0.9375369379301237,0.21084138351136397
18,batt_bel6,1,6,battery,0.43004901069008056,0.0,0.43004901069008056,0.08406875819654863
19,pltd_bel7,1,7,diesel,0.08220630063661757,0.3586,-0.27639369936338243,0.057800564596148706
20,plts_bel7,1,7,solar,0.8125118388915508,0.0,0.8125118388915508,0.17530767153400859
21,batt_bel7,1,7,battery,0.319629394712215,0.0,0.319629394712215,0.06327480382139467
22,pltd_bel8,1,8,diesel,0.15356408461189472,0.7089,-0.5553359153881052,0.09912235795307876
23,plts_bel8,1,8,solar,1.6460190549147815,0.0,1.6460190549147815,0.3640296981095649
24,batt_bel8,1,8,battery,0.7065823767310137,0.0,0.7065823767310137,0.13799011322020135
25,pltd_bel9,1,9,diesel,0.15223891624208868,0.6833,-0.5310610837579113,0.10330989177711779
26,plts_bel9,1,9,solar,1.5750022597847377,0.0,1.5750022597847377,0.34184102535719196
27,batt_bel9,1,9,battery,0.6361014854883728,0.0,0.6361014854883728,0.12587882392761027
28,pltd_bel10,1,10,diesel,0.09096407836583738,0.3968,-0.3058359216341626,0.06395822311066032
29,plts_bel10,1,10,solar,0.8990678430787832,0.0,0.8990678430787832,0.19398294527260682
30,batt_bel10,1,10,battery,0.3536784610872759,0.0,0.3536784610872759,0.07001525709113608
31,pltd_bel11,1,11,diesel,0.15134598398174312,0.6602,-0.5088540160182569,0.10641396431592079
32,plts_bel11,1,11,solar,1.4958925277904362,0.0,1.4958925277904362,0.3227539120032333
33,batt_bel11,1,11,battery,0.588461923560759,0.0,0.588461923560759,0.11649374226909595
34,pltd_bel12,1,12,diesel,0.06511521894018174,0.284,-0.21888478105981823,0.045783750314400976
35,plts_bel12,1,12,solar,0.6435870594685998,0.0,0.6435870594685998,0.13886039533507447
36,batt_bel12,1,12,battery,0.2531766780409046,0.0,0.2531766780409046,0.05011964570388749
37,pltd_bel13,1,13,diesel,0.0518375408980019,0.2672,-0.21536245910199808,0.014809921669478702
38,plts_bel13,1,13,solar,1.191905572528548,0.0,1.191905572528548,0.2648785854503542
39,batt_bel13,1,13,battery,0.5824290428635943,0.0,0.5824290428635943,0.11316776938950343
40,pltd_bel14,1,14,diesel,0.03810799999998319,0.2055,-0.1673920000000168,0.022632563665344628
41,plts_bel14,1,14,solar,0.5002700785326685,0.0,0.5002700785326685,0.11250502634479705
42,batt_bel14,1,14,battery,0.2294744082046587,0.0,0.2294744082046587,0.04485914495172537
43,pltd_bel15,1,15,diesel,0.03393747416531539,0.1749,-0.1409625258346846,0.009695957556782502
44,plts_bel15,1,15,solar,0.7803263338498546,0.0,0.7803263338498546,0.1734129121658849
45,batt_bel15,1,15,battery,0.38130922654111954,0.0,0.38130922654111954,0.07408958389887235
46,pltd_bel16,1,16,diesel,0.11250403802058419,0.4908,-0.37829596197941584,0.07910355102427433
47,plts_bel16,1,16,solar,1.1119684960871132,0.0,1.1119684960871132,0.23991839755385047
48,batt_bel16,1,16,battery,0.43743021529245707,0.0,0.43743021529245707,0.08659504391488262
49,pltd_bel17,1,17,diesel,0.04366752307101198,0.2234,-0.179732476928988,0.012743857821104173
50,plts_bel17,1,17,solar,1.0099183635716176,0.0,1.0099183635716176,0.22110226723999404
51,batt_bel17,1,17,battery,0.48515823301493727,0.0,0.48515823301493727,0.09452510372974099
52,pltd_bel18,1,18,diesel,0.028096472681390802,0.1297,-0.10160352731860921,0.018135632942648153
53,plts_bel18,1,18,solar,0.30116340306759026,0.0,0.30116340306759026,0.06660455972613956
54,batt_bel18,1,18,battery,0.1292800297715568,0.0,0.1292800297715568,0.025247393820729606
55,pltd_bel19,1,19,diesel,0.046540548677349726,0.203,-0.1564594513226503,0.032723447655782
56,plts_bel19,1,19,solar,0.4600069787135884,0.0,0.4600069787135884,0.09925119866184651
57,batt_bel19,1,19,battery,0.1809606350923069,0.0,0.1809606350923069,0.0358235125523571
58,pltd_bel20,1,20,diesel,0.011494000000065943,0.0444,-0.03290599999993406,0.0080254745448827
59,plts_bel20,1,20,solar,0.09853552505901828,0.0,0.09853552505901828,0.02067356926112941
60,batt_bel20,1,20,battery,0.03574206835513334,0.0,0.03574206835513334,0.007060942149801348
61,pltd_bel21,1,21,diesel,0.04310200000001502,0.1664,-0.12329799999998498,0.030095654341306434
62,plts_bel21,1,21,solar,0.36950615280385873,0.0,0.36950615280385873,0.0775254708799243
63,batt_bel21,1,21,battery,0.1340316514404758,0.0,0.1340316514404758,0.026478357823247197
64,pltd_bel22,1,22,diesel,0.030650000000018832,0.1183,-0.08764999999998117,0.021401164172170816
65,plts_bel22,1,22,solar,0.2627613275701839,0.0,0.2627613275701839,0.055129429832284936
66,batt_bel22,1,22,battery,0.09531212528358822,0.0,0.09531212528358822,0.018829215003726398
67,pltd_bel23,1,23,diesel,0.02119699999997557,0.1143,-0.09310300000002443,0.012588968432341328
68,plts_bel23,1,23,solar,0.27825988524163553,0.0,0.27825988524163553,0.06257751146625551
69,batt_bel23,1,23,battery,0.12763765166197505,0.0,0.12763765166197505,0.024951414076649813
70,pltd_bel24,1,24,diesel,0.01740000000004435,0.0672,-0.049799999999955644,0.01214942359471721
71,plts_bel24,1,24,solar,0.14917295399480374,0.0,0.14917295399480374,0.03129771072045823
72,batt_bel24,1,24,battery,0.05411048383799261,0.0,0.05411048383799261,0.01068969209092058
73,pltd_bel25,1,25,diesel,0.012691000000073331,0.049,-0.03630899999992667,0.008861354945126004
74,plts_bel25,1,25,solar,0.10880035033400398,0.0,0.10880035033400398,0.022827161035628124
75,batt_bel25,1,25,battery,0.03946554084845712,0.0,0.03946554084845712,0.007796545164785803
76,pltd_bel26,1,26,diesel,0.035519000000016565,0.1371,-0.10158099999998343,0.02480102840228955
77,plts_bel26,1,26,solar,0.3045008484536959,0.0,0.3045008484536959,0.0638867478820442
78,batt_bel26,1,26,battery,0.11045194587084133,0.0,0.11045194587084133,0.021820132952220826
79,pltd_bel27,1,27,diesel,0.02793510299993755,0.1254,-0.09746489700006246,0.018956783559653086
80,plts_bel27,1,27,solar,0.2890129259558958,0.0,0.2890129259558958,0.06272783016044087
81,batt_bel27,1,27,battery,0.11672557458328603,0.0,0.11672557458328603,0.023098948770124035
82,pltd_bel28,1,28,diesel,0.020728860266746207,0.093,-0.07227113973325379,0.014066750781865143
83,plts_bel28,1,28,solar,0.214449064413254,0.0,0.214449064413254,0.046544412100465296
84,batt_bel28,1,28,battery,0.08660985385799719,0.0,0.08660985385799719,0.01713931832039188
85,pltd_bel29,1,29,diesel,0.015184074874309618,0.0662,-0.05101592512569038,0.01067618119054201
86,plts_bel29,1,29,solar,0.1500772642191769,0.0,0.1500772642191769,0.03238074009010628
87,batt_bel29,1,29,battery,0.05903829486138534,0.0,0.05903829486138534,0.011687391411214563
88,pltd_bel30,1,30,diesel,0.012602992328717439,0.0508,-0.03819700767128256,0.00824026120433694
89,plts_bel30,1,30,solar,0.11559646393897909,0.0,0.11559646393897909,0.02477623642814182
90,batt_bel30,1,30,battery,0.04461667114956166,0.0,0.04461667114956166,0.00881971741233442
91,pltd_bel31,1,31,diesel,0.02566455278801445,0.1035,-0.07783544721198554,0.016780585260909895
92,plts_bel31,1,31,solar,0.23539440450217483,0.0,0.23539440450217483,0.050453043004744354
93,batt_bel31,1,31,battery,0.0908544164021799,0.0,0.0908544164021799,0.017959898620128017
94,pltd_bel32,1,32,diesel,0.03459331308585455,0.1553,-0.12070668691414543,0.023475239777950314
95,plts_bel32,1,32,solar,0.35789116875356985,0.0,0.35789116875356985,0.07767725243442332
96,batt_bel32,1,32,battery,0.14454278606466583,0.0,0.14454278606466583,0.028603747524449056
97,pltd_bel33,1,33,diesel,0.020453840328047205,0.0918,-0.0713461596719528,0.013880143384028227
98,plts_bel33,1,33,solar,0.2116107746183361,0.0,0.2116107746183361,0.0459283314235917
99,batt_bel33,1,33,battery,0.08546411021965457,0.0,0.08546411021965457,0.016912597325372515
100,pltd_bel34,1,34,diesel,0.018332439191852783,0.0739,-0.05556756080814721,0.01198663445002523
101,plts_bel34,1,34,solar,0.16813677869009308,0.0,0.16813677869009308,0.036037305408492114
102,batt_bel34,1,34,battery,0.06489346782430226,0.0,0.06489346782430226,0.012828034314146
103,pltd_bel35,1,35,diesel,0.016884420985979653,0.0758,-0.05891557901402035,0.011457959465156329
104,plts_bel35,1,35,solar,0.17468588985898906,0.0,0.17468588985898906,0.03791406233602451
105,batt_bel35,1,35,battery,0.0705511370526375,0.0,0.0705511370526375,0.013961466091983997
106,pltd_bel36,1,36,diesel,0.010169752479473411,0.0444,-0.03423024752052659,0.007150432685447232
107,plts_bel36,1,36,solar,0.1005184187236595,0.0,0.1005184187236595,0.0216878063087348
108,batt_bel36,1,36,battery,0.03954253257616253,0.0,0.03954253257616253,0.00782796563471769
109,pltd_bel37,1,37,diesel,0.01779778145295717,0.0776,-0.05980221854704283,0.012513712234305394
110,plts_bel37,1,37,solar,0.17590349427310994,0.0,0.17590349427310994,0.037952976314768565
111,batt_bel37,1,37,battery,0.06919730007941562,0.0,0.06919730007941562,0.01369847455695775
112,pltd_bel38,1,38,diesel,0.03637109622678246,0.1587,-0.12232890377321755,0.025573173121706136
113,plts_bel38,1,38,solar,0.35948855988846534,0.0,0.35948855988846534,0.07756325033161392
114,batt_bel38,1,38,battery,0.14141718243282575,0.0,0.14141718243282575,0.027995404362576474
115,pltd_bel39,1,39,diesel,0.013198000000001566,0.0712,-0.05800199999999843,0.00783840801706097
116,plts_bel39,1,39,solar,0.17325591212232153,0.0,0.17325591212232153,0.03896329292910568
117,batt_bel39,1,39,battery,0.07947224434271216,0.0,0.07947224434271216,0.015535754359612497
118,pltd_bel40,1,40,diesel,0.014618799724684928,0.0638,-0.04918120027531507,0.010278745587586319
119,plts_bel40,1,40,solar,0.1444942922849027,0.0,0.1444942922849027,0.031176119385980784
120,batt_bel40,1,40,battery,0.056842260090502174,0.0,0.056842260090502174,0.011252667437817563
121,pltd_bel41,1,41,diesel,0.015820362312772365,0.069,-0.05317963768722764,0.011123447396056509
122,plts_bel41,1,41,solar,0.1563581076625214,0.0,0.1563581076625214,0.03373587401089634
123,batt_bel41,1,41,battery,0.06150825899273865,0.0,0.06150825899273865,0.012176331378021349
124,pltd_bel42,1,42,diesel,0.014397999999998487,0.0776,-0.06320200000000152,0.00855128643596896
